  -1,       0,       0,       0,      1,      1,     2,      3,      4
  -2,       0,       1,       2,      0,      1,     0,      0,      0
 6.0,  -26.98,   -9.62,   27.40,  -25.1,   -0.0, -1257,      0,      0
10.8,  -27.23,   -3.07,   23.04,   35.3,   15.7, -1257,      0,      0
11.2,  -30.33,   -9.23,    9.08,  -88.4,  -11.8, -1257,      0,      0
11.8,  -33.54,  -10.08,   13.28, -126.7,   11.6, -1257,      0,      0
12.2,  -13.65,   -0.07,    9.35, -111.4,   40.6, -1257,      0,      0
12.9,  -19.53,   -1.64,   15.86,  -66.8,   20.6, -1257,      0,      0
13.1,  -37.99,   +2.63,  +16.14,   -5.7,  +14.0, -1257, +107.9, +104.3 
15.9,  -38.33,   +5.61,  +15.42,      0,  +18.7, -1189, +243.8, +155.2 
16.1,  -31.05,   +2.83,   +8.59,      0,  +15.5, -1404, +105.5, +170.7 
17.5,  -29.18,   -0.09,   +2.41,      0,  +24.5, -1165, +189.7, +325.0 
19.0,  -18.40,   +5.98,   -6.46,      0,   +5.5,     0,      0, +276.6 
20.0,  -12.65,   -4.57,   -7.46,      0,  +97.9,     0,      0,      0 
21.0,  -18.22,  -15.24,  -18.54,      0, +128.2,     0,      0,      0 
